0.00530, 0.0351
0.0135, 0.0983
0.0218, 0.162
0.0282, 0.217
0.0337, 0.269
0.0436, 0.323
0.0554, 0.373
0.0693, 0.427
0.0907, 0.471
0.116, 0.505
0.143, 0.513
0.171, 0.505
0.200, 0.479
0.227, 0.428
0.241, 0.387
0.259, 0.339
0.277, 0.290
0.296, 0.240
0.311, 0.192
0.326, 0.145
0.345, 0.0911
0.359, 0.0388
0.369, -0.00280
0.389, -0.0539
0.405, -0.127
0.422, -0.187
0.436, -0.241
0.451, -0.291
0.466, -0.343
0.482, -0.394
0.498, -0.443
0.516, -0.496
0.539, -0.548
0.566, -0.598
0.593, -0.642
0.610, -0.666
0.636, -0.675
0.664, -0.675
0.690, -0.645
0.713, -0.599
0.737, -0.547
0.754, -0.499
0.770, -0.447
0.783, -0.398
0.795, -0.348
0.808, -0.296
0.819, -0.243
0.831, -0.191
0.844, -0.136
0.855, -0.0868
0.866, -0.0382
0.879, 0.0125
0.893, 0.0599
0.903, 0.112
0.913, 0.164
0.922, 0.215
0.931, 0.270
0.940, 0.330
0.950, 0.386
0.960, 0.453
0.970, 0.511
0.976, 0.560
0.983, 0.609
